id,post_owner,title,body,tags,date,is_deleted
76,2,"Is it possible to switch career in data scientist, machine learning, artificial intelligence for 20 years mechanical engineer?","Is it possible to switch career in data scientist, machine learning, artificial intelligence for 20 years mechanical engineer?","1,2,3",2/2/2023 18:31,0
77,2,Can I join ISRO aftwr doing b.tech in AI and ML?,Can I join ISRO aftwr doing b.tech in AI and ML?,"1,2,3",2/2/2023 18:31,0
78,2,"I am good in studies at AI and DS but I don’t participate in any of the extra activities like sports, athletics, debet, and any other cultural activities. Is it going to be a problem for my job placement?","I am good in studies at AI and DS but I don’t participate in any of the extra activities like sports, athletics, debet, and any other cultural activities. Is it going to be a problem for my job placement?","1,2,3",2/2/2023 18:31,0
79,2,I have 2 options of getting PR via a consultancy in a year or pursuing AI through online courses to upgrade myself. What should I choose?,I have 2 options of getting PR via a consultancy in a year or pursuing AI through online courses to upgrade myself. What should I choose?,"1,2,3",2/2/2023 18:31,0
80,2,What is the average entry-level salary? Salary progression?,What is the average entry-level salary? Salary progression?,"1,2,3",2/2/2023 18:31,0
81,2,How can one start his/her career in music (especially as a studio recording and sound designing engineer) after getting an engineering degree? Where and what are the courses (in India) that need to be done?,How can one start his/her career in music (especially as a studio recording and sound designing engineer) after getting an engineering degree? Where and what are the courses (in India) that need to be done?,"1,2,3",2/2/2023 18:31,0
82,2,Which are the best career options after a bachelor’s degree in civil engineering in india?,Which are the best career options after a bachelor’s degree in civil engineering in india?,"1,2,3",2/2/2023 18:31,0
83,2,What are the skills required for an internet security analyst? Do we have to know by heart the programmes and algorithms to study that course?,What are the skills required for an internet security analyst? Do we have to know by heart the programmes and algorithms to study that course?,"1,2,3",2/2/2023 18:31,0
84,2,What is the scope of job opportunities for power engineering in the coming 5 years?,What is the scope of job opportunities for power engineering in the coming 5 years?,"1,2,3",2/2/2023 18:31,0
85,2,What are the different job opportunities for an electrical engineer?,What are the different job opportunities for an electrical engineer?,"1,2,3",2/2/2023 18:31,0
86,2,What is the scope of game developing in India? Is it wise to choose this as a career option?,What is the scope of game developing in India? Is it wise to choose this as a career option?,"1,2,3",2/2/2023 18:31,0
87,1,"As a mechanical engineer, which option shall I choose, an IT company or a core company? I am interested in an IT company rather disappointed with the environment of core companies. Is this correct? What should I do now?","As a mechanical engineer, which option shall I choose, an IT company or a core company? I am interested in an IT company rather disappointed with the environment of core companies. Is this correct? What should I do now?","1,2,3",2/2/2023 18:31,0
88,1,"What skill set should I develop and/or what career should I pursue in order to thrive in the future work life, and avoid being replaced by AI?","What skill set should I develop and/or what career should I pursue in order to thrive in the future work life, and avoid being replaced by AI?","1,2,3",2/2/2023 18:31,0
89,1,What is the scope for wildlife science in job opportunities that will allow me to get paid good amounts?,What is the scope for wildlife science in job opportunities that will allow me to get paid good amounts?,"1,2,3",2/2/2023 18:31,0
90,1,"What are some career options which don’t require one to be academically sound, but be good in multiple skills?","What are some career options which don’t require one to be academically sound, but be good in multiple skills?","1,2,3",2/2/2023 18:31,0
91,1,What career options are open for a software engineer apart from an MS or MBA in its fields?,What career options are open for a software engineer apart from an MS or MBA in its fields?,"1,2,3",2/2/2023 18:31,0
92,1,Which type of career should I choose if I am fond of travelling and that should be something prestigious?,Which type of career should I choose if I am fond of travelling and that should be something prestigious?,"1,2,3",2/2/2023 18:31,0
93,1,Is a degree in engineering worth it knowing that most of them will end up working for IT in India?,Is a degree in engineering worth it knowing that most of them will end up working for IT in India?,"1,2,3",2/2/2023 18:31,0
94,1,How do I choose a career path/education path when I don’t really have a passion for anything?,How do I choose a career path/education path when I don’t really have a passion for anything?,"1,2,3",2/2/2023 18:31,0
95,1,What is the best answer of why you want to join non technical field when you are doing engineering?,What is the best answer of why you want to join non technical field when you are doing engineering?,"1,2,3",2/2/2023 18:31,0
96,1,What is the scope of cyber security jobs in India?,What is the scope of cyber security jobs in India?,"1,2,3",2/2/2023 18:31,0
97,1,What are some interesting careers in India most people unaware of?,What are some interesting careers in India most people unaware of?,"1,2,3",2/2/2023 18:31,0
98,1,Is there any field in engineering where we can study both the hardware and software of computers?,Is there any field in engineering where we can study both the hardware and software of computers?,"1,2,3",2/2/2023 18:31,0
99,5,I have done my graduation in Metallurgy and Materials Science and I am interested to pursue my career in the automobile industry. Which post graduate courses should I apply for?,I have done my graduation in Metallurgy and Materials Science and I am interested to pursue my career in the automobile industry. Which post graduate courses should I apply for?,"1,2,3",2/2/2023 18:31,0
100,5,"I want to work for the poor, for animals, for the environment. I’m preparing to go for an MBA in marketing next as I feel marketing is the best way to kick-start a company. Is it the right decision?","I want to work for the poor, for animals, for the environment. I’m preparing to go for an MBA in marketing next as I feel marketing is the best way to kick-start a company. Is it the right decision?","1,2,3",2/2/2023 18:31,0
101,5,"What should a first year (mechanical) engineering student (of a low profile state level college of Gujarat, India) do in four years to get himself/herself prepared to be called a successful engineering student after four years","What should a first year (mechanical) engineering student (of a low profile state level college of Gujarat, India) do in four years to get himself/herself prepared to be called a successful engineering student after four years","1,2,3",2/2/2023 18:31,0
102,5,What do you mean by offbeat career?,What do you mean by offbeat career?,"1,2,3",2/2/2023 18:31,0
103,5,How do I apply for a job at a startup in India? Where can I find good information?,How do I apply for a job at a startup in India? Where can I find good information?,"1,2,3",2/2/2023 18:31,0
104,5,"How can a 1st-year student prepare himself to land a job in Google, Amazon, Directi, Flipkart, etc. or large tech companies in India?","How can a 1st-year student prepare himself to land a job in Google, Amazon, Directi, Flipkart, etc. or large tech companies in India?","1,2,3",2/2/2023 18:31,0
105,5,How can I know if I am interested in pure science or engineering?,How can I know if I am interested in pure science or engineering?,"1,2,3",2/2/2023 18:31,0
106,5,"To become an AI entrepreneur, should I start a company after a master’s in AI or first get a PhD in AI?","To become an AI entrepreneur, should I start a company after a master’s in AI or first get a PhD in AI?","1,2,3",2/2/2023 18:31,0
107,5,"Can we choose and become experts in two different careers, for example, data scientist along with nutritionist?","Can we choose and become experts in two different careers, for example, data scientist along with nutritionist?","1,2,3",2/2/2023 18:31,0
108,5,What are the basic requirements for becoming an animator?,What are the basic requirements for becoming an animator?,"1,2,3",2/2/2023 18:31,0
109,4,I eagerly want to pursue my career as a multilanguage expert. But I am doubtful of its scope. As nowadays everyone are getting into this field. What can be the future opportunities for a language expert?,I eagerly want to pursue my career as a multilanguage expert. But I am doubtful of its scope. As nowadays everyone are getting into this field. What can be the future opportunities for a language expert?,"1,2,3",2/2/2023 18:31,0
110,3,Are decision scientists and data scientists similar jobs in an IT consulting firm?,Are decision scientists and data scientists similar jobs in an IT consulting firm?,"1,2,3",2/2/2023 18:31,0
111,2,"Are analysts at Wall Street economists or people from economics and finance background, or is it possible that they can be from sciences and engineering backgrounds?","Are analysts at Wall Street economists or people from economics and finance background, or is it possible that they can be from sciences and engineering backgrounds?","1,2,3",2/2/2023 18:31,0
112,1,How do personality skills and interest relate to career choices?,How do personality skills and interest relate to career choices?,"1,2,3",2/2/2023 18:31,0
113,5,What are the 10 top disruptive tech skills with a huge pay premium?,What are the 10 top disruptive tech skills with a huge pay premium?,"1,2,3",2/2/2023 18:31,0
114,4,What are the job prospects for environmental science and technology?,What are the job prospects for environmental science and technology?,"1,2,3",2/2/2023 18:31,0
115,3,How can one engineering student apply for internships at Hindustan Aeronautics Limited (HAL)?,How can one engineering student apply for internships at Hindustan Aeronautics Limited (HAL)?,"1,2,3",2/2/2023 18:31,0
